"Number","Gender","NameSet","Title","GivenName","MiddleInitial","Surname","AmountPaid","StreetAddress","City","State","StateFull","ZipCode","Country","CountryFull","Feedback","EmailAddress","Username","TelephoneNumber","TelephoneCountryCode","MothersMaiden","Birthday","TropicalZodiac","CCType","CCNumber","CVV2","CCExpires","Color","Occupation","Company","Vehicle","Domain","BloodType","Pounds","Kilograms","FeetInches","Centimeters","Password","BrowserUserAgent","NationalID","UPS","WesternUnionMTCN","MoneyGramMTCN","GUID","Latitude","Longitude","Coluna 46"
"40571","","","","","","","","","","","","","","","","","","084 369 1208","27","Chike","3/12/1964","Pisces","Visa","4532293282143619","075","9/2016","Blue","Power lineman","Maurice The Pants Man","2007 Chrysler Grand Voyager","CardChaser.co.za","O+","161.0","73.2","5' 10"","179","","","","1Z W18 V83 77 8309 882 9","9257280654","61618809","0fc1022a-4f87-40ab-8e9a-8cd884f36bc7","-25.655962","27.246588",""
"40572","","","","","","","","","","","","","","","","","","085 752 4645","27","Hughes","7/14/1970","Cancer","Visa","4929369276414504","986","2/2017","White","Ballet master","Checker Auto Parts","2006 Honda Accord","CampusNightmare.co.za","O+","180.6","82.1","5' 10"","179","","","","1Z 22F 971 64 1986 881 1","3302690573","08657008","e5d2f11e-becf-488e-95ee-62b3dd33a34f","-33.791237","19.491814",""
"40573","","","","","","","","","","","","","","","","","","082 280 3096","27","Kwemtochukwu","11/7/1982","Scorpio","Visa","4532506119219090","921","5/2020","Blue","Computer systems software engineer","Magna Architectural Design","2006 Mercedes-Benz SL","LifeRingtones.co.za","O+","222.0","100.9","5' 11"","180","","","","1Z 98W 87V 28 2047 037 8","0199722251","60447158","edbaf893-bb7d-424b-b2eb-365001009276","-23.016812","30.449883",""
"40574","","","","","","","","","","","","","","","","","","082 668 3582","27","Iheatu","5/18/1990","Taurus","MasterCard","5432813315039332","189","2/2019","Blue","Natural sciences manager","Friendly Advice","2010 Lexus RX","DenimDistribution.co.za","A+","145.2","66.0","5' 3"","159","","","","1Z 1E6 563 57 6512 281 1","2884559901","78475079","64d13980-32bb-44ed-9679-a90e8f017e87","-24.893455","29.2759",""
"40575","","","","","","","","","","","","","","","","","","083 855 4771","27","Francis","4/2/1983","Aries","MasterCard","5486934806248151","221","10/2019","Blue","Junior high school teacher","Strategic Profit","2004 BMW 760","SolarStands.co.za","B+","188.3","85.6","6' 2"","188","","","","1Z 414 877 83 1361 732 6","1058890293","47062587","b5e12355-6cca-4519-ae2e-3f7b75b61c67","-28.631487","31.124562",""
"40576","","","","","","","","","","","","","","","","","","085 882 0424","27","Reid","1/5/1994","Capricorn","Visa","4532233334148976","079","6/2020","Red","Teacher assistant","Food Barn","1993 Peugeot 309","RelocationLending.co.za","O+","233.9","106.3","5' 10"","179","","","","1Z 7E2 Y35 48 3821 205 6","4593149954","10461733","a627c6ab-fb9d-478f-951a-e2c3be76a0d6","-26.48515","30.06453",""
"40577","","","","","","","","","","","","","","","","","","082 526 7994","27","Doss","11/28/1971","Sagittarius","MasterCard","5255535182467338","592","12/2020","Blue","Entomologist","Builderama","1999 Lincoln Continental","AirplaneExperts.co.za","O+","192.5","87.5","6' 0"","182","","","","1Z 0V7 717 33 0353 059 4","2661244263","24166398","80439ecf-e8cd-4030-9017-9e033c997f91","-25.723302","28.313715",""
"40578","","","","","","","","","","","","","","","","","","085 862 8608","27","","6/9/1962","Gemini","MasterCard","5531090595193770","377","6/2018","Purple","Adult literacy teacher","Red Bears Tavern","2009 SsangYong Actyon","ATVSpecialist.co.za","A-","174.5","79.3","5' 8"","172","","","","1Z 740 10F 60 5681 981 0","4916981370","71375641","81a1a216-a64f-4fa2-a972-5ffd5a81ba4b","-26.201822","28.443303",""
"40579","","","","","","","","","","","","","","","","","","083 663 2225","27","Padovano","9/1/1985","Virgo","Visa","4556512050628712","856","12/2017","Green","Training and development coordinator","National Auto Parts","2015 BMW 5 Series Gran Turismo","GigaRacks.co.za","A+","168.1","76.4","5' 6"","168","","","","1Z 837 93E 61 6273 277 2","8984641153","95690697","106af9d9-9028-45c7-b331-c0860bfdf6a6","-33.089622","27.819678",""
"40580","","","","","","","","","","","","","","","","","","084 108 0047","27","Sharpe","12/5/1976","Sagittarius","MasterCard","5182129731761637","193","12/2016","Green","Member services counselor","Total Quality","2008 Renault Koleos","SkiingNewsletter.co.za","O-","234.5","106.6","6' 1"","186","","","","1Z 9A9 V62 15 3374 501 0","9669210407","89606924","880f530e-d96f-42fb-ba8c-664f7f26c3a2","-29.408011","26.150114",""
"40581","","","","","","","","","","","","","","","","","","082 434 0452","27","Abrha","11/21/1972","Scorpio","MasterCard","5218644525343457","140","10/2020","Blue","Mail machine operator","House 2 Home","1996 Rover 800","TropicalGolfer.co.za","O+","252.6","114.8","5' 9"","174","","","","1Z 445 469 68 3877 453 4","2024720120","49781807","d98b2ddb-1803-4abb-8a87-ca9481d092bf","-34.143781","18.591449",""
"40582","","","","","","","","","","","","","","","","","","084 942 9760","27","Appleroth","2/9/1956","Aquarius","MasterCard","5414432650971421","481","9/2019","Blue","Legal investigator","Custom Sound","2007 Ford Fiesta","UniversalWipes.co.za","O+","163.0","74.1","5' 5"","166","","","","1Z 605 810 87 7320 282 3","2765167080","26371741","0567a187-250f-48cf-881c-bae845953ba8","-25.397795","31.109679",""
"40583","","","","","","","","","","","","","","","","","","085 855 8983","27","Chifo","2/22/1990","Pisces","Visa","4929940420886860","344","3/2020","Blue","Animal control worker","House Of Denmark","2001 Ford Ranger","JobAward.co.za","O+","137.9","62.7","5' 11"","180","","","","1Z 566 4V8 98 4851 728 7","5789627064","92671506","8247da4b-5173-430a-bb47-497a78cd9dc2","-31.99298","27.868024",""
"40584","","","","","","","","","","","","","","","","","","082 897 6147","27","Jamieson","11/1/1979","Scorpio","Visa","4929886314037146","449","11/2016","Blue","Compliance officer","Young @ Heart","2006 Panoz Esperante","BottomTooth.co.za","B+","189.2","86.0","5' 7"","170","","","","1Z 905 599 16 9930 674 1","2566847801","01730181","3eb859c2-8505-43d5-a30d-8cb159fec3ad","-24.565723","27.302502",""
"40585","","","","","","","","","","","","","","","","","","083 644 4716","27","Oka","1/1/1962","Capricorn","MasterCard","5473544263727889","833","9/2017","Blue","Silversmith","Total Yard Maintenance","2003 Nissan 350Z","SeeFonts.co.za","O+","170.1","77.3","5' 9"","176","","","","1Z Y57 F48 55 3293 239 3","0840019118","41324783","dd5e56b0-d90c-46bb-8024-c586d9a3766a","-25.790119","28.313415",""
"40586","","","","","","","","","","","","","","","","","","085 946 5045","27","","2/19/1956","Pisces","Visa","4916802293894659","836","8/2016","Brown","Web developer","Steinberg's","1996 Honda Civic","GamePlayoff.co.za","B+","167.9","76.3","5' 9"","176","","","","1Z 8Y5 6W4 09 5646 404 3","1390624619","61491685","e795cc20-572e-4b05-aa69-735eaeb779cc","-29.037862","29.899462",""
"40587","","","","","","","","","","","","","","","","","","085 971 0451","27","Esposito","8/12/1959","Leo","MasterCard","5312236553319163","599","12/2016","Purple","Surveillance agent","Herman's World of Sporting Goods","2000 Opel Agila","SwimConditioning.co.za","O+","185.0","84.1","5' 3"","161","","","","1Z 3Y3 822 40 6029 629 7","8797503313","99415618","35ba4435-94f0-4df3-a009-7f04c801fd77","-25.485759","30.935062",""
"40588","","","","","","","","","","","","","","","","","","085 160 7827","27","Macleod","7/31/1970","Leo","MasterCard","5438637026861476","518","3/2016","Green","Sheriff","AM/PM Camp","2007 GMC Savana","NumberConnect.co.za","O+","121.4","55.2","5' 2"","157","","","","1Z 428 38Y 70 2073 345 0","5942784575","85380947","8c121363-4621-46c4-a134-2d9f9cbb5b87","-25.639484","27.194772",""
"40589","","","","","","","","","","","","","","","","","","084 839 4953","27","Grant","5/11/1953","Taurus","MasterCard","5568245351565308","800","5/2020","Green","Gynecology nurse","Indiewealth","2006 Volkswagen Sharan","NorthernDesert.co.za","B+","210.5","95.7","6' 0"","184","","","","1Z Y52 715 98 9211 758 1","5801457245","51045337","d7362813-c922-4dfa-98a8-c84de8d7d909","-28.942262","27.56143",""
"40590","","","","","","","","","","","","","","","","","","085 799 7968","27","Rocha","7/22/1966","Cancer","Visa","4929477922754197","883","4/2018","Blue","Library aide","Awthentikz","2011 Dacia Sandero","TxtApps.co.za","B+","169.4","77.0","5' 1"","154","","","","1Z 514 458 04 6790 071 3","5787003422","88423626","11549fde-44b9-42c5-b9ec-5e73ccba049d","-26.033476","27.782337",""
"40591","","","","","","","","","","","","","","","","","","085 544 7058","27","Brooks","3/8/1951","Pisces","MasterCard","5478737431001519","038","10/2019","Blue","Data entry clerk","Sounds of Soul Records & Tapes","1998 Ford Telstar","TampaConcert.co.za","B+","218.2","99.2","5' 7"","170","","","","1Z 584 595 99 1758 076 9","4006754895","21091235","05d22c2c-7c06-48df-bbbb-2163ebc963f1","-33.994407","18.32657",""
"40592","","","","","","","","","","","","","","","","","","084 552 2963","27","Hill","6/29/1986","Cancer","MasterCard","5414929303361512","147","8/2016","Blue","Life Guard","Asian Answers","1998 Buick Park Avenue","BuyJoker.co.za","O+","168.1","76.4","5' 11"","180","","","","1Z 16Y 571 84 6813 666 1","3309857049","04029003","08582be2-9492-4dc7-a919-187d6bbd2609","-25.319401","30.489072",""
"40593","","","","","","","","","","","","","","","","","","082 202 7946","27","Moyes","12/1/1965","Sagittarius","Visa","4556812276300017","329","11/2019","Orange","Data coder operator","Red Food","2001 BMW Z8","TicketAppraisal.co.za","O+","151.6","68.9","5' 7"","171","","","","1Z F19 F68 75 4971 176 6","1715563703","79220986","5995d309-1eaf-49e7-b301-95d4594a5245","-27.273733","27.962169",""
"40594","","","","","","","","","","","","","","","","","","082 583 8729","27","Ifeanacho","2/14/1993","Aquarius","Visa","4532359389662601","263","1/2019","Red","Benefits administrator","Asian Fusion","1999 Toyota Solara","Lipville.co.za","A+","175.6","79.8","5' 7"","171","","","","1Z 0V2 Y20 42 6375 440 6","5485452893","72391295","940a5c6e-871c-4e4a-b7e2-bf4d2356f94c","-24.14754","29.036177",""
"40595","","","","","","","","","","","","","","","","","","082 534 7608","27","Wilkerson","4/11/1960","Aries","MasterCard","5559541854089627","599","12/2016","Green","Social work policy maker","McMahan's Furniture","1993 Peugeot 309","RankCanada.co.za","A-","120.3","54.7","5' 1"","154","","","","1Z 05E 4V9 47 1326 497 2","8949713874","63968577","a34b023c-b871-4bc9-91d9-f57a46d0f354","-29.649467","30.385581",""
"40596","","","","","","","","","","","","","","","","","","084 535 0382","27","Baresi","12/10/1961","Sagittarius","MasterCard","5251188129791107","737","4/2017","Blue","Bench carpenter","CSK Auto","2000 Ford Laser","FakeFrames.co.za","B+","155.5","70.7","6' 1"","186","","","","1Z 867 225 03 7174 150 7","2341299904","00316182","ced1f401-e86a-4ebf-9187-47b258d8d623","-25.519495","31.101872",""
"40597","","","","","","","","","","","","","","","","","","085 748 4961","27","Chiemela","4/19/1994","Aries","MasterCard","5541032111893598","561","2/2018","Blue","Tamping equipment operator","Music Den","2011 Nissan NP300","LawsuitAssistance.co.za","O+","193.8","88.1","5' 7"","171","","","","1Z 183 6F8 20 1282 199 9","5163460057","58835727","7253f390-846c-40ca-bee5-a97c4ff328b5","-32.053916","28.241808",""
"40598","","","","","","","","","","","","","","","","","","085 847 0696","27","T'ien","12/20/1986","Sagittarius","MasterCard","5161019869856934","376","6/2019","Red","Switchboard operator","Realty Depot","2007 Mazda 3","AlienStats.co.za","O-","162.1","73.7","5' 9"","174","","","","1Z 938 Y58 83 9333 696 6","6541203390","13630392","7645a19b-7f97-48a6-8c2d-6a17b2da1e22","-26.130718","28.143206",""
"40599","","","","","","","","","","","","","","","","","","085 733 6370","27","Watts","4/9/1993","Aries","Visa","4716141950981091","574","9/2016","Blue","Agronomist","Huffman and Boyle","2014 Acura RLX","ReversePlans.co.za","AB+","191.2","86.9","5' 9"","175","","","","1Z 732 393 05 1736 919 4","7789531983","12178647","38720f82-3a45-4d3b-8e3c-60ce35808e93","-26.190617","26.25147",""
"40600","","","","","","","","","","","","","","","","","","085 823 6966","27","Willson","5/25/1965","Gemini","Visa","4716574086040590","664","8/2018","Blue","Airbrush artist","Steinberg's","2008 Toyota Condor","LatePreviews.co.za","A+","220.9","100.4","6' 0"","183","","","","1Z W02 480 99 6956 721 4","4625874883","76105522","891bed64-1883-4b29-918e-44d070112cb7","-33.847401","24.835415",""
"40601","","","","","","","","","","","","","","","","","","084 677 5177","27","Teng","11/16/1971","Scorpio","Visa","4532916630636070","281","8/2016","Orange","Office support secretary","Edwards","1997 Lancia Kappa","OMesothelioma.co.za","O+","145.6","66.2","5' 1"","156","","","","1Z F59 036 19 5010 125 5","9788992493","23558432","7f109012-a29f-4864-bb0a-50f365f2f689","-26.995718","30.768403",""
"40602","","","","","","","","","","","","","","","","","","084 852 7374","27","Smither","9/22/1992","Virgo","Visa","4485501875513999","216","9/2017","Blue","Chemical equipment operator","Gold Touch","1996 Auverland A3","CookingConfessions.co.za","O+","232.8","105.8","5' 7"","170","","","","1Z 767 539 13 6126 284 8","2726240018","13648690","8327e0a0-f69f-4eb1-86ab-a34a383f9ac4","-25.319695","28.127534",""
"40603","","","","","","","","","","","","","","","","","","084 175 5224","27","Peacock","9/16/1989","Virgo","MasterCard","5105807076351882","483","7/2016","Silver","Central office installer","Monit","1995 Volkswagen Polo","NewsOpportunity.co.za","O+","232.3","105.6","5' 10"","177","","","","1Z 068 63F 45 1047 437 0","5509516820","36553573","d0269370-02ef-42ea-9cb7-511ee1efb399","-33.96603","18.444648",""
"40604","","","","","","","","","","","","","","","","","","084 553 2933","27","Pugliesi","2/12/1972","Aquarius","MasterCard","5506381513123796","778","8/2018","Blue","Superintendent","Murray's Discount Auto Stores","1999 Fiat Punto","RepublicanStandard.co.za","O+","165.9","75.4","5' 6"","167","","","","1Z 0V6 4A4 96 0735 403 2","3342650760","85052536","f3cfe282-6874-4b4c-a4e4-af47e00d779a","-28.005345","24.746608",""
"40605","","","","","","","","","","","","","","","","","","085 257 4656","27","McCarty","5/1/1961","Taurus","Visa","4532573170363936","379","6/2018","Red","Professor","The Network Chef","1996 Toyota Mega Cruiser","SupplySigns.co.za","O+","159.3","72.4","5' 11"","180","","","","1Z 250 773 86 9116 883 1","0471396907","38882833","f1bc3871-7af5-4746-9bf4-ae59c317ba87","-33.960729","18.383364",""
"40606","","","","","","","","","","","","","","","","","","085 687 1484","27","Greece","5/28/1994","Gemini","Visa","4485026063815493","829","4/2017","Blue","Industrial-organizational psychologist","Beasts of Beauty","2004 Seat Inca Kombi","ReverseAnalysis.co.za","AB+","213.8","97.2","6' 2"","187","","","","1Z 093 725 50 6522 952 4","3413015059","38361980","e8debee3-b4dc-4b7f-8e1a-638d72bebc1d","-29.579014","30.428213",""
"40607","","","","","","","","","","","","","","","","","","085 291 8379","27","","11/30/1977","Sagittarius","MasterCard","5161442248680728","005","4/2020","Blue","Typographer","Blue Boar Cafeterias","2008 Mazda 2","MagazineAlert.co.za","O+","121.7","55.3","5' 1"","154","","","","1Z 15E 548 32 7422 488 3","5809910520","02626568","4f8c85f2-766c-40d3-8ee8-ea32179c9b27","-26.687724","27.057422",""
"40608","","","","","","","","","","","","","","","","","","085 887 7272","27","Chukwuhaenye","3/3/1981","Pisces","MasterCard","5155513127596645","589","8/2017","Green","Industrial economist","Total Yard Maintenance","2005 Toyota Crown","TypingCompany.co.za","A+","239.1","108.7","5' 9"","174","","","","1Z A75 936 82 7271 881 2","1035138983","65752838","2e189a56-46a4-4dab-99cc-660fabec7abf","-32.16224","24.467295",""
"40609","","","","","","","","","","","","","","","","","","085 145 6793","27","","8/22/1982","Leo","Visa","4716925577596146","624","9/2017","Red","Linemen","Exact Solutions","2011 Mazda Tribute","BusySkies.co.za","A+","205.9","93.6","5' 9"","175","","","","1Z 179 624 71 1409 201 3","5494041750","40765821","b4fa573b-2a44-4d2c-acfe-a32730bb3c45","-29.842115","31.057142",""
"40610","","","","","","","","","","","","","","","","","","085 805 2417","27","Campbell","7/19/1960","Cancer","MasterCard","5128530486901855","841","3/2019","Blue","Assignment clerk","Camelot Music","2009 Peugeot 307","MyIncredible.co.za","O-","215.2","97.8","5' 1"","156","","","","1Z 009 600 69 1780 339 8","7436418221","04475285","1074e7c2-0c65-4aa7-a9c3-d55802321ad7","-24.811739","31.162274",""
"40611","","","","","","","","","","","","","","","","","","084 862 1417","27","Gardner","8/17/1960","Leo","Visa","4929947209779331","337","8/2018","Blue","Advisor investigator","National Auto Parts","2002 Peugeot 206","PlayerReporter.co.za","O+","142.8","64.9","5' 0"","153","","","","1Z 641 613 34 5955 397 4","5582235087","01046329","d4b2df92-2a73-4c0c-9f2e-2300eef56478","-29.318873","30.883424",""
"40612","","","","","","","","","","","","","","","","","","083 169 6369","27","Selassie","6/4/1954","Gemini","MasterCard","5399071672518197","877","7/2020","Blue","Chemical equipment tender","Great American Music","2009 Citroen C1","DelawareInsuranceAgents.co.za","A+","232.3","105.6","5' 10"","177","","","","1Z 242 980 18 3734 196 8","6999951098","78235856","5863a163-a45e-487e-98ac-5f30223eed88","-28.106125","24.890367",""
"40651","","","","","","","","","","","","","","","","","","085 788 8558","27","Aman","5/26/1969","Gemini","MasterCard","5244783258490982","911","2/2018","Blue","Broker","Finast","2011 Renault Wind","WatchCalls.co.za","A+","141.7","64.4","5' 6"","167","","","","1Z V27 V11 99 1906 366 6","0221490394","59637555","267db967-3fe8-4e94-bdc1-a885ea4374e2","-30.256594","29.951215",""
"40652","","","","","","","","","","","","","","","","","","084 261 6948","27","Slater","11/17/1962","Scorpio","MasterCard","5139423505104684","744","7/2016","Yellow","Office and administrative support worker supervisor","Team Uno","2010 Mitsubishi Eclipse","DebtHeads.co.za","O+","162.1","73.7","5' 1"","155","","","","1Z 324 022 49 2575 212 8","2974043982","86422894","ad355fcb-ad60-4d2c-aceb-5f4498a7802f","-28.342124","27.663233",""
"40653","","","","","","","","","","","","","","","","","","085 622 5093","27","","5/21/1991","Gemini","Visa","4556725285840304","132","5/2016","Blue","Umpire","Nickerson Farms","1997 Ford Taurus","ChiropractorsDirect.co.za","B+","134.9","61.3","5' 1"","156","","","","1Z 442 V30 75 0448 229 2","6967553268","11342158","c301c849-07dd-4f34-b9df-44200ccfeb54","-27.757392","29.95282",""
"40654","","","","","","","","","","","","","","","","","","083 550 6555","27","","10/29/1987","Scorpio","MasterCard","5246706170489491","627","9/2017","Blue","Platemaker","Fisher Foods","2001 Audi A8","CapitalGrade.co.za","A+","125.2","56.9","5' 1"","155","","","","1Z 5A2 177 03 6625 853 2","9967772043","64954732","f7484544-9e7f-4cc1-8373-51dde92576fe","-26.206075","27.866426",""
"40655","","","","","","","","","","","","","","","","","","082 158 3726","27","Arcuri","2/10/1972","Aquarius","MasterCard","5245384066695810","349","11/2017","Yellow","Expediting clerk","Mr. Steak","2007 Lancia Thesis","MemoryPlate.co.za","B+","209.2","95.1","6' 2"","188","","","","1Z 360 004 31 6365 256 0","0796164544","08104063","a589571c-d871-4b07-b241-53c452a04369","-28.788752","20.585925",""
"40656","","","","","","","","","","","","","","","","","","082 703 6830","27","Ositadimma","9/4/1979","Virgo","Visa","4929179394324141","830","3/2020","Red","Grocery bagger","Cellophane Square","2005 Hyundai Galloper","LaundryAlerts.co.za","O-","143.4","65.2","5' 9"","174","","","","1Z 1Y6 405 09 1252 364 9","1954744798","86560346","9d6a0c94-74b4-448a-bc6d-dd928e8c816e","-24.966494","29.295502",""
"40657","","","","","","","","","","","","","","","","","","085 639 2457","27","Pisani","10/18/1973","Libra","Visa","4916957782591131","201","6/2016","Green","Local controller","Musicland","2012 Suzuki Grand Vitara","MechanicalInformation.co.za","A+","185.5","84.3","5' 3"","159","","","","1Z E88 327 18 0337 242 3","5799168678","28837470","e22a7053-38c1-4881-b183-13bbb33717d8","-26.205106","27.941512",""
"40658","","","","","","","","","","","","","","","","","","083 681 6690","27","Greece","6/19/1983","Gemini","MasterCard","5330552991436932","988","10/2017","Blue","Highway patrol officer","Best Products","2001 BMW X5","PrintedBody.co.za","A+","186.8","84.9","5' 9"","175","","","","1Z 092 770 62 4949 094 4","1878610411","96079409","ca62739f-7a51-45ce-b346-ef1f0dcb4ea4","-25.658283","28.175031",""
"40659","","","","","","","","","","","","","","","","","","084 583 5859","27","Anderson","10/23/1975","Scorpio","Visa","4532146847974052","176","10/2019","Blue","Paper goods tender","Tweeter","2004 Mercury Monterey","VerticalMovers.co.za","A+","186.8","84.9","5' 8"","173","","","","1Z 340 E36 71 1529 653 8","0924307154","63984829","74e700fd-3749-47ad-bed7-27da08343ddb","-23.989825","29.821922",""
"40660","","","","","","","","","","","","","","","","","","084 341 9384","27","Futsum","10/6/1982","Libra","Visa","4716756411398138","783","2/2019","Blue","Quality control inspector","Modern Architecture Design","2015 Infiniti Q70","BroadwayMovies.co.za","A+","137.7","62.6","5' 7"","169","","","","1Z 831 3E8 02 4610 713 2","7468372178","80257299","1cbeaf3d-cae6-4776-8bf8-edb6de42b668","-25.427373","30.931123",""
"40661","","","","","","","","","","","","","","","","","","085 840 3178","27","Barr","5/5/1979","Taurus","Visa","4716856343902518","313","3/2018","Red","Loan officer","Peter Reeves","1993 Porsche Boxster","ITExplained.co.za","B+","168.3","76.5","5' 10"","177","","","","1Z 0V8 370 60 1860 305 4","4547048532","19121856","7e31e8fe-7de9-443a-9043-beec8d5134bb","-30.097999","24.7356",""
"40662","","","","","","","","","","","","","","","","","","085 188 6429","27","Alem","12/1/1986","Sagittarius","MasterCard","5402400146372219","079","2/2016","Green","Radio and telecommunications equipment installer","Big A Auto Parts","2002 Suzuki Covie","ThisMLS.co.za","B+","137.9","62.7","5' 10"","178","","","","1Z 366 376 39 4512 615 4","1903608180","75642174","c5535ff5-933f-4af3-b379-c5868b2f30a3","-24.608665","30.246676",""
"40663","","","","","","","","","","","","","","","","","","082 828 8955","27","Douglas","1/24/1957","Aquarius","Visa","4716194988687461","272","1/2018","Blue","Prepress technician","Wealthy Ideas","2006 Rover Streetwise","VanillaJournal.co.za","B+","192.9","87.7","6' 1"","186","","","","1Z 533 V25 32 9238 833 0","8824814008","54494738","6a8f0433-71da-43b1-bc85-7175889eb280","-28.060078","32.221249",""
"40664","","","","","","","","","","","","","","","","","","085 379 6749","27","Rapuluolisa","3/10/1980","Pisces","Visa","4485842163470447","304","3/2020","Blue","Insulation worker","Electronic Geek","2008 Peugeot 307","PaintingChat.co.za","O+","144.8","65.8","5' 9"","174","","","","1Z 517 854 84 7556 266 5","2363538611","53211421","fb7c0f82-cd26-4712-af6a-417e20e8e1e8","-25.747454","28.248615",""
"40665","","","","","","","","","","","","","","","","","","084 155 0812","27","Li","6/2/1953","Gemini","Visa","4532035202478587","785","11/2020","Blue","Physical therapist assistant","Solution Answers","2007 Mercedes-Benz A","DiscountPlayer.co.za","O+","145.0","65.9","5' 4"","162","","","","1Z 265 789 30 5275 334 6","8943204823","21394088","381979ef-6f22-457c-ae01-cbcc2eb7af83","-30.80631","30.310227",""
"40666","","","","","","","","","","","","","","","","","","084 651 6999","27","Okechukwu","9/29/1984","Libra","Visa","4716213515498729","893","3/2019","Blue","Job analyst","Alladin Realty","2012 Maybach 62","HerSatisfaction.co.za","A-","151.6","68.9","5' 1"","156","","","","1Z 577 693 04 8185 342 2","9568669814","67085191","7888d7f3-59c0-4717-8dab-3841f64ceccb","-23.14261","29.841585",""
"40667","","","","","","","","","","","","","","","","","","085 564 1719","27","Ko","4/3/1961","Aries","Visa","4539427042845385","779","10/2018","Blue","Time and attendance clerk","Colonial Stores","2005 Daihatsu Sirion","CardPublications.co.za","O+","146.3","66.5","6' 0"","182","","","","1Z 8E7 556 89 6257 150 9","5894736270","84486346","76fbce4e-ca26-4995-bbf6-87bd91d3896d","-25.949521","29.254699",""
"","","","","","","","6517.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","21707.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","42408.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","353.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45947","male","Scottish","Mr.","Findlay","K","Craig","29387.76","989 Telford Ave","Windsorton","NC","Northern Cape","8510","ZA","South Africa","","FindlayCraig@teleworm.us","Whinding"," like Gecko) Chrome/43.0.2357.132 Safari/537.36"","084 782 5014","27","Mitchell","1/3/1990","Capricorn","MasterCard","5290091211315590","290","82290547","Blue","Conductor","Farmer Jack","2005 Kia Spectra","TucsonVoice.co.za","O+","227.3","103.3","6' 3"","","","1/2017","","1Z 839 705 16 2365 680 9","2726684813","190","48296c65-ff08-42e1-b01d-bd3fb3b33858","-28.351021","24.786.134"
"47045","","","","","","","69461.68","138 Amos St","Temba","NW","North West","0409","ZA","South Africa","Could have been better","JesseCurrey@teleworm.us","Thairstur","082 795 9420","27","Stace","1/9/1993","Capricorn","MasterCard","5175943649008918","134","3/2018","Blue","Electronics technician","Profitpros","2001 Mercedes-Benz E","PredictionPro.co.za","A+","125.8","57.2","5' 9"","176","","","","1Z 591 870 16 3382 861 5","7766031106","15817976","8aaacd7e-6537-4523-8fe4-2a683f2b3362","-25.373984","28.190463",""
"47050","","","","","","","32825.74","199 Plein St","Cape Town","WC","Western Cape","7789","ZA","South Africa","","FaiYao@gustr.com","Sharther","084 534 1205","27","Huang","1/29/1993","Aquarius","Visa","4485442030347769","298","2/2016","Green","Forester","AJ Bayless","2003 Oldsmobile Bravada","StatisticsWire.co.za","O+","214.9","97.7","5' 9"","174","","","","1Z Y80 971 93 7849 127 1","5291750007","01980097","af7edb49-da56-45af-8fdf-defbf8433d72","-33.941731","18.447135",""
"47067","","","","","","","98997.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47381","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Noodle Kidoodle","2010 Chevrolet Kalos","ShopEquity.co.za","B+","246.0","111.8","5' 9"","174","","","","","","","b848a62b-d4a2-4104-80bf-fe65c32addfd","-24.564949","27.380561",""
"47382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Access Asia","2010 SsangYong Kyron","TapCredit.co.za","O+","189.4","86.1","5' 7"","169","","","","","","","48b11829-4ad9-4c19-ae7e-d65a017542a9","-29.811438","31.114946",""
"47383","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wise Appraisals","1994 Rover 800","SeekGain.co.za","O+","204.6","93.0","5' 8"","173","","","","","","","589808c8-e5bb-40d7-a2f0-75e19518468d","-22.99284","30.512394",""
"47384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A Plus Lawn Care","1996 Renault Clio","ResidentialBook.co.za","O+","197.1","89.6","5' 7"","169","","","","","","","bd7c40b1-bf82-49c2-be28-0872bf5751fb","-24.927249","31.008379",""
"47385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Auto Palace","2006 Opel Vectra","MoleForum.co.za","A+","222.6","101.2","5' 10"","178","","","","","","","5b5ca0cb-3609-4bde-bb28-4ac31fc3763d","-25.730861","27.255057",""
"49137","","","","","","","95663.71","1685 Impala St","Pietermaritzburg","KN","KwaZulu-Natal","3221","ZA","South Africa","","LilyBoyd@teleworm.us","Chreash","083 287 6543","27","Mobsby","5/11/1957","Taurus","MasterCard","5351637356758337","993","3/2017","Blue","Business administrator","Access Asia","1999 Daewoo Nubira","YogaAddicts.co.za","O+","132.7","60.3","5' 5"","166","","","","1Z 906 420 17 6571 058 0","1432509804","71529596","c075dd3a-4d92-4290-9000-2fba416499ed","-29.557242","30.441391",""
